customer_id,plan_type,device_brand,avg_data_usage_gb,pct_video_usage,avg_call_duration,sms_freq,monthly_spend,topup_freq,travel_score,complaint_count,target_offer
C00001,Prepaid,Realme,1.5,0.8041460263450491,7.98,13,70000.0,4,0.2844189968419545,0,General Offer
C00002,Postpaid,Vivo,1.09,0.10768637529365216,9.56,9,63000.0,3,0.11508628205361705,0,General Offer
C00003,Postpaid,Xiaomi,3.24,0.31389398380624134,4.61,13,89000.0,7,0.40299759641160643,0,General Offer
C00004,Prepaid,Apple,5.32,0.42015759810355613,6.96,8,67000.0,4,0.3021685393268597,0,General Offer
C00005,Prepaid,Huawei,1.91,0.2516379006484085,11.01,21,72000.0,5,0.4879106397322117,0,General Offer
C00006,Prepaid,Oppo,3.3,0.47887274602075125,6.53,17,54000.0,3,0.37213455939361556,0,Top-up Promo
C00007,Prepaid,Oppo,9.87,0.37588198938983824,11.17,11,140000.0,5,0.30822005818478887,1,Device Upgrade Offer
C00008,Postpaid,Oppo,13.91,0.4659773679501838,7.72,14,180000.0,4,0.28825699513470804,2,Device Upgrade Offer
C00009,Postpaid,Realme,1.25,0.22217832834033274,10.73,20,72000.0,2,0.27060115968284015,0,General Offer
C00010,Postpaid,Huawei,3.66,0.19677366018990408,13.36,11,83000.0,1,0.3427301707767397,0,General Offer
C00011,Prepaid,Samsung,13.69,0.39427909274490575,12.97,16,163000.0,2,0.2796367106251138,0,Device Upgrade Offer
C00012,Postpaid,Huawei,10.6,0.5458178895784999,12.09,12,185000.0,4,0.3615081826815109,0,Data Booster
C00013,Postpaid,Samsung,9.87,0.7686890921458518,16.63,11,125000.0,4,0.41511032565703593,0,Data Booster
C00014,Prepaid,Oppo,4.56,0.03454454245059424,0.72,19,106000.0,7,0.33717389029509226,0,General Offer
C00015,Prepaid,Vivo,6.41,0.3605905304263257,9.85,17,127000.0,3,0.34585634096971357,0,Device Upgrade Offer
C00016,Prepaid,Vivo,8.63,0.4885739641580522,13.89,11,141000.0,5,0.42908338447781946,0,Device Upgrade Offer
C00017,Prepaid,Samsung,17.43,0.4730515850509491,-0.26,15,227000.0,3,0.29104805643489234,0,Device Upgrade Offer
C00018,Prepaid,Oppo,2.86,0.15582389365824578,18.64,14,92000.0,3,0.1477056495244556,1,General Offer
C00019,Prepaid,Huawei,5.32,0.2546241053197001,8.5,18,98000.0,3,0.31795614929418414,0,General Offer
C00020,Prepaid,Vivo,4.53,0.3972369868853305,6.62,15,114000.0,1,0.18521730722382462,0,General Offer
C00021,Postpaid,Samsung,4.08,0.9366801131000493,13.84,13,84000.0,3,0.634599880745164,0,General Offer
C00022,Prepaid,Huawei,8.12,0.5886210603569009,6.13,17,147000.0,2,0.22411339290879412,0,Data Booster
C00023,Prepaid,Oppo,8.03,0.4700858558158094,16.75,7,140000.0,2,0.4900659430432523,0,Device Upgrade Offer
C00024,Prepaid,Xiaomi,5.37,0.0,10.1,14,108000.0,3,0.10891396281085508,1,General Offer
C00025,Prepaid,Oppo,12.58,0.1365121182370052,17.09,11,142000.0,3,0.19400030516072012,2,Device Upgrade Offer
C00026,Postpaid,Realme,8.59,0.15422404531902578,16.16,14,146000.0,5,0.2829539589783602,0,General Offer
C00027,Prepaid,Oppo,10.4,0.47160284725565726,10.61,14,141000.0,1,0.3138297371902162,0,Device Upgrade Offer
C00028,Prepaid,Huawei,2.89,0.37275833872786396,6.6,17,86000.0,3,0.051453828758135096,0,General Offer
C00029,Prepaid,Huawei,5.53,0.27296056083146364,18.69,13,120000.0,4,0.4831550663193269,0,General Offer
C00030,Prepaid,Apple,10.13,0.46688929293235637,2.42,14,145000.0,2,0.1756723611203664,0,General Offer
C00031,Postpaid,Apple,1.97,0.09785749781746711,8.3,16,39000.0,2,0.4430089364763723,1,Retention Offer
C00032,Prepaid,Huawei,8.26,0.2370370072534525,14.34,14,142000.0,5,0.1740006681790753,0,General Offer
C00033,Prepaid,Huawei,1.93,0.38682241065875417,2.67,10,59000.0,4,0.36392832858134744,0,Top-up Promo
C00034,Postpaid,Xiaomi,8.83,0.7738433522001377,3.89,21,166000.0,1,0.19324117207567326,1,Data Booster
C00035,Postpaid,Xiaomi,3.49,0.5791289611290226,9.09,11,56000.0,2,0.2526061611682914,0,General Offer
C00036,Postpaid,Oppo,6.89,0.4862075517962376,11.39,21,127000.0,4,0.14670826914345386,0,Device Upgrade Offer
C00037,Prepaid,Realme,3.2,0.31985345683509797,0.56,12,79000.0,1,0.018937184708430543,1,General Offer
C00038,Prepaid,Vivo,2.21,0.3963668496981786,15.66,16,70000.0,2,0.23125814336795084,0,General Offer
C00039,Postpaid,Realme,11.86,0.6432140574524546,9.24,17,187000.0,1,0.09491368633362283,0,Data Booster
C00040,Prepaid,Xiaomi,1.6,0.7651485039813233,13.54,16,71000.0,2,0.15054988733657143,1,General Offer
C00041,Prepaid,Oppo,2.42,0.3520079992266241,6.27,22,75000.0,2,0.31777784849288293,0,General Offer
C00042,Prepaid,Realme,13.26,0.49012234844828817,8.08,26,175000.0,4,0.2478463975043198,0,General Offer
C00043,Prepaid,Samsung,3.16,0.5828198058393199,11.51,14,82000.0,1,0.04229674459770167,0,General Offer
C00044,Postpaid,Apple,1.65,0.481759289692452,10.79,10,31000.0,3,0.4350792356380389,2,Retention Offer
C00045,Prepaid,Realme,5.98,0.13812648326415178,13.37,21,104000.0,2,0.31315688461204916,1,General Offer
C00046,Postpaid,Vivo,4.0,0.25100424487121487,13.62,17,80000.0,2,0.39317810470143755,0,General Offer
C00047,Prepaid,Oppo,2.79,0.5481263576384635,4.21,16,78000.0,5,0.15473335353616136,0,General Offer
C00048,Prepaid,Realme,7.5,0.2873023415247882,10.95,19,126000.0,2,0.5285109092462607,0,General Offer
C00049,Prepaid,Huawei,0.95,0.7587203094529211,9.17,19,58000.0,3,0.2715938589756983,0,Top-up Promo
C00050,Prepaid,Samsung,4.95,0.3384806161787387,11.98,16,104000.0,2,0.46670665238342973,0,General Offer
C00051,Postpaid,Apple,1.24,0.13322718365563863,8.4,12,55000.0,5,0.2045238991141549,0,General Offer
C00052,Postpaid,Samsung,11.55,0.6069219981430655,10.26,14,123000.0,3,0.02293885245513653,1,Data Booster
C00053,Postpaid,Oppo,20.35,0.328003214983311,19.74,16,208000.0,4,0.35463632930326117,1,Device Upgrade Offer
C00054,Postpaid,Xiaomi,2.43,0.3438355824723541,4.1,20,70000.0,4,0.2849562179713968,0,General Offer
C00055,Prepaid,Apple,6.01,0.5735823211697757,7.75,15,75000.0,4,0.15262302449782605,0,General Offer
C00056,Postpaid,Samsung,0.79,0.2019131735962083,-1.69,18,118000.0,1,0.18319513073474195,0,General Offer
C00057,Prepaid,Xiaomi,1.14,0.41642528545442253,7.31,17,59000.0,3,0.7426891952412734,1,Top-up Promo
C00058,Prepaid,Vivo,3.17,0.15772755183822082,4.47,14,122000.0,4,0.15449710087904742,1,Device Upgrade Offer
C00059,Prepaid,Oppo,3.77,0.4151866072080142,19.74,10,60000.0,0,0.1579024498495341,0,General Offer
C00060,Prepaid,Oppo,2.83,0.07225650412120566,8.37,10,94000.0,5,0.38857385575067277,0,General Offer
C00061,Prepaid,Apple,4.42,0.23183199651086658,7.98,13,89000.0,1,0.3404739432550596,0,General Offer
C00062,Prepaid,Samsung,7.88,0.5796602134287698,13.24,17,97000.0,4,0.4763332901819942,0,General Offer
